"unit,sex,age,country,year,life_expectancy,flag,flag_detail"
"YR,F,Y65,PT,2021,21.7,e,estimated"
"YR,F,Y_LT1,PT,2021,84.3,e,estimated"
"YR,M,Y65,PT,2021,17.8,e,estimated"
"YR,M,Y_LT1,PT,2021,78.0,e,estimated"
"YR,T,Y65,PT,2021,19.9,e,estimated"
"YR,T,Y_LT1,PT,2021,81.2,e,estimated"
"YR,F,Y1,PT,2020,83.3,,"
"YR,F,Y10,PT,2020,74.4,,"
"YR,F,Y11,PT,2020,73.4,,"
"YR,F,Y12,PT,2020,72.4,,"
"YR,F,Y13,PT,2020,71.4,,"
"YR,F,Y14,PT,2020,70.4,,"
"YR,F,Y15,PT,2020,69.4,,"
"YR,F,Y16,PT,2020,68.4,,"
